肌肉无力,Muscle weakness|
多系统器官功能衰竭,multiple system organ failure|
呼吸异常,abnormality of respiration|
肾积水,hydronephrosis|hydronephrosis|nephrohydrops|nephrohydrosis|
细菌感染,bacterial infection|
细菌性感染,bacterial infection|Bacterial infection|
咯血,hempotysis|hemptysis|hemoptysis|spit blood|spit the blood|empsyxis|emptysis|haemoptysis|hemop.|hemoptysis|
气急,short breath|shortbreath|breath lessness|
泡样水肿,
眼睑水肿,palpebral edema|palpebraledema|palpebral edema|palpebral oedema|
肩关节疼痛,
软骨肉瘤,chondrosarcoma|chondroma sarcomatosum|chondrosarcoma|ChS|sarcoenchondroma|
阴门,cunus|gash|vulva|vulva|vulvae|valva|
外阴,cinnus|external genitalia|vulva|external genital|external genitalia|vulva|vulvae|cunnus|episio-|vulo-|vulv-|Vulvo-|
咳痰,expectoration|
甾醇,sterine|sterin|sterine|sterol|
皮肤紫癜,
紫癜,pelioma|purpura|peliosis|purpura|Peliosis|Purpura|
分离性障碍,dissociative disorder|dissociative disorder|
歇斯底里症,hysteria|
吞咽发呛,
吞咽痛,odynophagia|odynophagia|
梦游症,noctambulation|noctambulism|sleepwalking disorder|
睡行症,sleep walking|sleepwalking|somnambulism|somnambulism|sleep walking|
肌束震颤,fasciculation|
功能性头痛,functional headache|
头痛加重,
晕动病,kinesia|kinetia|
晕动症,motion sickness|
眼睛,eye|
目,order|opto-|Ord|ord.|order|screen mesh|screen opening|
膝关节疼痛,
脑缺血,cerebral ischemia|cerebral ischemia|
甲状腺机能亢进,hyperthyrodiism|hyperthyroidosis|hyperthyroidism|hyperthyrea|hyperthyreosis|hyperthyroidation|hyperthyroidosis|thyroidism|
甲状腺机能亢进症,hyperthyroidism|hyperthyroidism|
肝功能异常,
火麻仁,fructus cannabis|hemp seed|fructus cannabis|hemp fruit|hempseed|
血浆白蛋白降低,
食欲异常,Abnormal food appetite|
进食困难,
气管阻塞,
粒细胞减少,granulocy topenia|granulocytopenia|granulocytopenia|granulopenia|Schultz's syndrome|
粒细胞缺乏症,agranulemia|agranulimia|agranulocytopenia|agranulosis|AG|agranulemia|agranulocytopenia|agranulocytosis|agranulogytopenia|agranulosis|aleukia|idiopathic neutropenia|malignant neutropenia|pernicious leukopenia syndrome|Schultz syndrome|Werner-Schulatz disease|agranulemia|
胸骨后疼痛,retrosternal pain|
牙齿感觉过敏症,
脊髓病,myelopathy|myelopathy|spinal cord disease|
梦游症,noctambulation|noctambulism|sleepwalking disorder|
气血失和,
偏盲,hemiablepsia|hemiamaurosis|hemianopsia|hemiamaurosis|hemianopia|hemiopia|half blindness|half vision|half-blindness|hemiablepsia|hemiamaurosis|hemianopia|hemiopia|hemiscotosis|visus dimidiatus|
中药,pumice stone|bark of pubescent pricklyash|chinese drug|chinese drugs|fruit of prince-feather|potmarigold|prepared arisaema root|prepared kusnezoff monkshood root|prepared licorrice|prepared pinellia tuber|prepared rehmannia root|prepared rhubarb|Chinese crude drug|Chinese materia medica|Chinese medicinal materials|traditional Chinese medicine|
神经衰弱,N D|degenerative conditions of the nervous system|nervous debility|nervous exhaustion|neurasthenia|neurosism|N-pros|nervous exhaustion|nervous prostration|neurasthenia|neurataxia|neuroasthenia|
血压低,
视网膜脱落,
视网膜剥离,detachment of retina|retinal detachment|retinodialysis|amotio retinae|disinsertion|RD|retinal detachment|
慢性肺原性心脏病,chronic cor pulmonale|chronic pulmonary heart disease|chronic pulmonary heart disease|
开博通,Captopril|
牛皮癣,leprous psora|neurodermatitis|psoriasis|psychosomatic|alphos|lepra alphoides|leprous psora|psoriasis|Ps|psora|psoriasis|psoriasis vulgaris|scaly tetter|serpedo|
胃肠道功能紊乱,functional disturbances of gastrointestinal tract|gastrointestinal neurosis|
肠道功能紊乱,
大三阳,
多房棘球蚴病,
食欲下降,
纳差,anorexia|anorexia|
呼吸音粗糙,respiratory harshness|respiratory rudeness|
呼吸音粗,
呼衰,
急性呼吸衰竭,acute respiratory failure|acute respriatory failure|acute respiratory failure|ARF|
强直性肌张力增高,
肌张力障碍,dystonia|dysmyotonia|myodystonia|myodystony|
吞咽发呛,
吞咽困难,dyscatabrosis|dysphagia|dysphagy|dysphagia|acataposis|deglutitio impedita|dysphagia|
月经周期,menstrual cycle|cycle of menses|menstrual cycle|menstrual cycle|
高热不退,
身热,general fever|
食欲异常,Abnormal food appetite|
纳差,anorexia|anorexia|
妊娠恶阻,pernicious vomiting|perniciousvomiting|pernicious vomiting with pregnancy|pregnant reaction|
下腹部肿块,
肾结石,kidney stone|nephrolith|renal calculs|renal stone|kidney stone|renal lithiasis|renal calculus|
息肉,polyp|polypus|polyp|polypus|[单]polypus|[复]polypi|
肠息肉,intestinal polyp|polyp intestinal|
胸膜增厚,pleural thickening|pleural thickening|PLT|thickened pleura|
肥厚性心肌病,HC|HCM|
软骨肉瘤,chondrosarcoma|chondroma sarcomatosum|chondrosarcoma|ChS|sarcoenchondroma|
尺泽,chize|Chize|One-foot Marsh|
坐立不安,fidget|fidget|on the anxious seat|restlessness|
紧张,stretch|tension|tonicity|tonus|stress|stretch|tension|-tonia|intension|tensio|tension|tns.|tnsn.|TON|ton-|tone|tono-|tonus|
乳腺增生,hyperplasia of mammary glands|hyperplasia of mammary glands|
攒竹,tsanchu|Gathering Eyebrows|Zanzhu|
急性尿潴留,
排尿不畅,dribble urination|
勃起障碍,erectile disfunction|ED|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
血管性头痛,vascular headache|vascular headache|
皮肤感染,cutaneous infection|
东方马脑炎,eastern equine encephalitis|
海月,placuna meat|
听觉障碍,dysacusia|dysacusis|auditory handicap|
口淡,tastelessness|tasteles in the mouth|tastelessness|tastelessness in the mouth|
脑缺氧,cerebral anoxia|cerebral anoxia|
头昏,dizziness|dizziness|
腹痛,abdominal pain|abdomnalgia|cllic|abdominal pain|bellache|cllic|there is a pain in the abdomen|abdominal pain|bellyache|celialgia|celiodynia|coeliodynia|stomach-ache|
坐立不安,fidget|fidget|on the anxious seat|restlessness|
门静脉血栓形成,portal thrombosis|pylethrombosis|pylethrombosis|portal vein thrombosis|PVT|pylethrombosis|
子宫内膜异位,adenomyosis|adenomyosis uteri|EM|endometriosis uterina|mullerianosis|mulleriosis|
子宫内膜异位症,endometriosis|endometriosis uterina|endometriosis|Endometriosis|
小脑体征,
小脑共济失调,cerebellar ataxia|cerebllar ataxia|
持续性咳嗽,
刺激性咳嗽,irritable cough|
元宝草,St. Johnswort|
功能性头痛,functional headache|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
胃酸过多,acidity|gastric hyperacidity|gastroxynsis|hyperchlorhydria|hyperhydrochloria|gastric hyperacidity|gastric hypersecretion|gastroxia|gastroxynsis|hyperacidity|hyperchlorhydria|hyperhydrochloria|hyperhydrochloridia|perchlorhydria|
胃酸分泌过多,gastroxia|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
垂体功能减退,apituitarism|hypohypophysism|hypopituitarism|hypopituitarism|subpituitarism|
垂体功能减退症,hypopituitarism|
咽反射,pharyngealreflex|gag reflex|pharyngeal reflex|
咽痒,
烟酸缺乏症,pellagra|
糙皮病,chichism|pellagra|pellagrosis|pellargra|elephantiasis asturiensis|pellagra|endemic erythema|pellagra|pellagrosis|psilosis pigmentosa|shagreen skin|
胃肠道症状,gastrointestinal symptom|GIS|
肠息肉,intestinal polyp|polyp intestinal|
关节痛,arthralgia|arthralgia|arthrodynia|arthrosis|pain in articulation|arthralgia|arthrodynia|arthronalgia|joint pain|
心率增快,Increased heart rate|
心跳快,
时有发热,
静脉血栓,phlebothrombosis|
静脉血栓形成,phlebothrombosis|thrombosis of vein|venous thrombosis|
外耳道疖肿,
外耳道炎,otitis externa|otitis externa diffusa|
遗忘症,amnesia|amnesia|amnestic disorder|
肉毒碱,carnutine|kreotoxicon|novain|novain|carnitine|
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
特发性震颤,essential tremor|ET|
内出血,concealed hemorrhage|concealedhemorrhage|internal hemorrhage|bleed|bleed inwardly|internal bleading|internal bleeding|internal haemorrhage|internal hemorrhage|entorrhagia|internal hemorrhage|
眼内出血,intraocular hemorrhage|
中度精神发育迟滞,
精神发育迟缓,mental retardation|mental retardate|mental retardation|backwardness|
劳力性呼吸困难,DOE|dyspnea on exertion|
呼吸困难加重,
维生素D缺乏症,
缺钙,acalcerosis|calciprivia|calcium deficiency|
免疫缺陷病,immunologic deficiency disease|immunologic deficiency disease|ID|immunologic deficiency disease|
肝衰竭,hepatic failure|Hepatic failure|
子宫性闭经,uterine amenorrhea|amenorrhea due to uterine lesion|uterine amenorrhea|
霍奇金淋巴瘤,hodgkin lymphoma(hl)|
何杰金氏病,hodgkins disease|lymphogranulomatosis|malignant lymphogranulomatosis|malignant lymphoma|malignant lymphogranulomatosis|Hodgkin's disease|
气管阻塞,
气管炎,tracheitis|trachitis|tracheal catarrh|tracheitis|trachitis|
气管阻塞,
鳖甲,carapax amydae|fresh-water turtle shell|testa trionidis|fresh-water turtle shell|ssresh-water turtle shell|carapax amydae|carapax trionycis|testa trionidis|Tr-S-Car|trionyx sinensis carapax|turtle shell|
上甲,
脓肿,abscess|abscessus|suppurative mass|abscess|abscessus|ecpyesis|suppurative mass|AB|abscess|abscessus|apostasis|apostema|diapyema|ecpyesis|
瘿瘤,goiter and tumour|goiter|goiter and tumor|goiter and tumour|
枯草热,hay fever|corathma|hay fever|pollionosis|allergic coryza|autumnal catarrh|corasthma|coryza spasmodica|estival catarrh|hay asthma|hay fever|hay-fever|HF|June cold|pollen asthma|pollen disease|pollenosis|pollinosis|rose cold|seasonal allergic rhinitis|seasonal rhinitis|summer catarrh|
非阵发性室性心动过速,non-paroxysmal ventricular tachycardia|non-paroxysmal ventricular tachycardia|
室性期前收缩,ventricular premature contraction|premature ventricualr contraction|premature ventricular extrasystole|premature ventricular systole|PVB|PVC|PVE|PVS|ventricular premature beat|ventricular premature contraction|Vp|VPB|VPC|
慢性咽炎,chronic pharyngitis|chronic pharyngitis|chronic pharyngitis|PC|pharyngitis chronica|
上腹不适,epigastric discomfort|epigastric discomfort|
右上腹不适,
骨母细胞瘤,osteoblastoma|
成骨细胞瘤,osteoblastoma|osteoblastoma|
盐卤,n. bittern|bittern|brine|brine s|
淋证,stranguria|urination disturbance|urination disturbance|
下呼吸道感染,lower respiratory infection|lower respiratory infection|lower respiratory tract infection|LRI|LRTI|
呼吸不畅,disturbance in respiration|
脊中,Jizhong|Middle of Spine|
神宗,
手五里,
尿痛,urodynia|dysuria|pain in micturition|painful micturition|painful micturton|painful urination|odynuria|
偏盲,hemiablepsia|hemiamaurosis|hemianopsia|hemiamaurosis|hemianopia|hemiopia|half blindness|half vision|half-blindness|hemiablepsia|hemiamaurosis|hemianopia|hemiopia|hemiscotosis|visus dimidiatus|
营养障碍性,
咳嗽性晕厥,
反复咳嗽,
延胡,RHIZOMA CORYDALIS|
痉挛性便秘,spastic constipation|spastic constipation|spastic constipation|
偏头痛,hemicrania|megrim|mgraine|migraine headache|bilious headache|blind headache|brow|brow ache|brow ague|brow pang|cephalagra|hemicrania|megrim|migraine|migraine headache|one-sided headache|sick headache|brow ache|brow pang|cephalagra|hemicrania|heterocrania|MH|migraine|migraine headache|migrainous headache|
淋病,blennorrhagia|blennorrhea|clap|gonorrhea|clap|gonorrhea|alue balls|blennorrhagia|blennorrhea|clap|GO|Gono|gonorrhea|purgacion|urethritis venerea|
白浊,blennorrhea|gonorrhea cloudy urine|nebulous urine|nebulousurine|whitish and turbid urine|whitish and turbid urine|
吐酸,acid regurgitation|acidregurgitation|regurgitation of acid|
发作性胸痛,
浆细胞性乳腺炎,plasma cell mastitis|plasma cell mastitis|
腹部绞痛,abdominal colic|abdominal colic|Abdominal colic|
细粒棘球蚴病,
亚急性皮肤红斑狼疮,
海蜇,jellyfish|acaleph|jellyfish|
眼睑水肿,palpebral edema|palpebraledema|palpebral edema|palpebral oedema|
急性呼吸困难,
呼吸困难加重,
关节肿胀,arthroncus|arthrocele|
关节红肿,
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
眼睑水肿,palpebral edema|palpebraledema|palpebral edema|palpebral oedema|
内膜增厚,
齿龈出血,gingiva bleeding|ulemorrhagia|
牙龈出血,gingival bleeding|gingival hemorhang|gum bleeding|gingiva bleeding|gingival bleeding|gingival bleeding|
子宫内膜异位,adenomyosis|adenomyosis uteri|EM|endometriosis uterina|mullerianosis|mulleriosis|
气促明显,
胀痛,distending pain|swollen pain swelling pain|distending pain|fullness pain|pain with marked distension|painful distension|gas pains|
头胀痛,
中枢性发热,
反复发热,
少关,
颈强直,neck rigidity|stiff neck|stiffneck|neck rigidity|stiff-neck|
抗药性,chemical resistance|drug resistance|drugresistance|drug resistance|resistance to the action of a drug|chemical resistance|drug resistance|resistance to drugs|
耐药性,drug resistance|drug toler-ance|drugresistance|drug resistance|drug resistance|drug tolerance|
纵隔畸胎瘤,mediastinal teratoma|
感染性休克,infectious shock|infective shock|septic shock|
脓毒性休克,septic shock|Septic shock|
寻麻疹,
可的松,adreson|corlin|cortadren|cortisone|cortogen|cortone|crtisone|incortin|scheroson|cortogen|11-dehydro-17-hydroxycorticosterone|adreson|COR|corlin|cort.|cortadren|Cortelan|cortisone|incortin|Kendall's compound E|scheroson|
肾功能衰竭,renal failure|
曲鬓,Qubin|Tortuous Sideburns|
曲发,
排尿障碍,urinary dysfunction|
血尿,hematuria|blod water|blood in the urine|hematuresis|hematuria|hemuresis|red water|blood urine|bloody urine|cruenturesis|erythrocyturia|haematuria|haemuresis|hem.|hematuresis|hematuria|hemuresis|urina cruenta|
急性胃炎,acute gastritis|acute gastritis|acute gastritis|
皮下脂肪坏死,subcutaneous fat necrosis|subcutaneous fat necrosis|subcutaneous fat necrosis|
血象异常,
血脂异常,
脚气,placcidity of lower limbs|beriberi|flaccidity of the lower limbs|perneiras|wet dropsy|beriberi|loempe|panneuritis endemica|wet dropsy|
呼吸衰竭,respiratory failure|
急性支气管炎,acute bronchitis|acute bronchitis|acute bronchitis|
急性气管支气管炎,acute tracheobronchitis|acute tracheobronchitis|
囊性坏死,
囊性肾病,
下肢淋巴水肿,lymphatic edema of lower limb|lymphoedema of lower limb|lymphatic edema of lower limb|
下肢水肿,Edema of lower extremity|
肌萎缩侧索硬化症,amyotrophic lateral sclerosis|
运动神经元病,motor neuron disease|MND|motor neuron disease|
心动过速,pyknocardia|tachycardia|tachycardia|tachyrhythmia|pyknocardia|pyknosphygmia|sychnosphygmia|syncopexia|syncopexy|tach.|tachy.|tachycardia|tachyrhythmia|tachysystole|
烦躁不安,dysphoria|fidgetiness|restlessness|fidgetiness|irritability|vexation and restlessness|Dysphoria|
心脏增大,cardiac enlargement|cardiac enlargement|cardiac enlargement|
心脏扩大,
咳痰,expectoration|
阴虱,morpion|phthirus pubis|pubic louse|crab|crab louse|pubic louse|crab|crab louse|Pediculus inguinalis|Pediculus pubis|Phthirus pubis|pubic louse|
虱病,lousiness|pediculosis|phthiriasis|lousiness|lousiness|malis pediculi|morbus pediculosus|morbus sasus|pediculation|pediculosis|
尿血,hematuria|hematuria|
肉眼血尿,gross hematuria|
面肌萎缩,
低血钾症,hypokalemia|
腹部不适,epigastric discomfort|epigastric discomfrot|Abdominal discomfort|
喉阻塞,laryngeal obstruction|laryngemphraxis|laryngostasis|laryngostasis|laryngeal obstruction|laryngemphraxis|laryngostasis|suffocative cynanche|
喉梗阻,laryngemphraxis|laryngeal obstruction|laryngemphraxis|
